MeanModelFS_Dec_Implicit_nugget_150_9,ND,150,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_150_9,-66494.22972,-2.30E+10,193923,6.80E+08,357.3464567,1.17E+09,
MeanModelFS_Dec_Implicit_nugget_200_9,ND,200,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_200_9,-85224.97075,-1.99E+10,403756,3.93E+08,384.3622047,6.04E+08,
MeanModelFS_Dec_Implicit_nugget_250_9,ND,250,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_250_9,-102745.6,-1.70E+10,758339,2.65E+08,465.2283465,3.90E+08,
MeanModelFS_Dec_Implicit_nugget_300_9,ND,300,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_300_9,-118869.9517,-1.66E+10,1422877,2.64E+08,502.8661417,3.70E+08,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-36418.29129,93318,15.04933593,210.3307087,33.82033481,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-36418.29129,93318,15.04933593,207.9055118,33.82033481,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-1.54E+08,0,9259072.466,211.7086614,1.21E+07,
ModelName,Network,Proportion of trainingData,I,T,ModelLocation,InitialLogLiklihood,FinalLogLiklihood,TrainingTime,AverageError,averagePredictiontime,maxError,
MeanModelFS_Dec_Implicit_nugget_100_9,ND,100,800,9,Network\ND\newLargeDataSet\MeanModelFS_Dec_Implicit_nugget_100_9,-84810.37474,-2.00E+10,7.07E+07,8.55E+08,221.5275591,1.58E+09,
